Theta	Demes	TotalKappa	migration	mutation	frequency	growth	s	r	z	RatioCapacities	RatioMigration	replicates	Rescue	Error
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00010	1.01000	0.50000	0.30000	0.02000	0.50000	0.10000	2000.00000	0.15900	0.02101
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00010	1.01000	0.50000	0.30000	0.02000	0.50000	0.50000	2000.00000	0.14950	0.02049
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00010	1.01000	0.50000	0.30000	0.02000	0.50000	0.90000	2000.00000	0.16000	0.02107
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00010	1.01000	0.50000	0.30000	0.02000	0.90000	0.10000	2000.00000	0.16800	0.02148
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00010	1.01000	0.50000	0.30000	0.02000	0.90000	0.50000	2000.00000	0.18000	0.02208
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00010	1.01000	0.50000	0.30000	0.02000	0.90000	0.90000	2000.00000	0.17050	0.02161
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00010	1.01000	0.50000	0.90000	0.02000	0.10000	0.10000	2000.00000	0.10750	0.01780
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00010	1.01000	0.50000	0.90000	0.02000	0.10000	0.50000	2000.00000	0.10300	0.01747
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00010	1.01000	0.50000	0.90000	0.02000	0.10000	0.90000	2000.00000	0.12550	0.01904
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00010	1.01000	0.50000	0.90000	0.02000	0.50000	0.10000	2000.00000	0.07450	0.01509
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00010	1.01000	0.50000	0.90000	0.02000	0.50000	0.50000	2000.00000	0.06450	0.01412
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00010	1.01000	0.50000	0.90000	0.02000	0.50000	0.90000	2000.00000	0.08700	0.01620
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00010	1.01000	0.50000	0.90000	0.02000	0.90000	0.10000	2000.00000	0.09000	0.01645
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00010	1.01000	0.50000	0.90000	0.02000	0.90000	0.50000	2000.00000	0.09550	0.01689
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00010	1.01000	0.50000	0.90000	0.02000	0.90000	0.90000	2000.00000	0.10900	0.01791
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00005	1.01000	1.00000	0.30000	0.02000	0.10000	0.10000	2000.00000	0.15300	0.02069
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00005	1.01000	1.00000	0.30000	0.02000	0.10000	0.50000	2000.00000	0.15500	0.02080
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00005	1.01000	1.00000	0.30000	0.02000	0.10000	0.90000	2000.00000	0.16050	0.02109
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00005	1.01000	1.00000	0.30000	0.02000	0.50000	0.10000	2000.00000	0.14800	0.02041
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00005	1.01000	1.00000	0.30000	0.02000	0.50000	0.50000	2000.00000	0.14200	0.02006
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00005	1.01000	1.00000	0.30000	0.02000	0.50000	0.90000	2000.00000	0.12800	0.01920
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00005	1.01000	1.00000	0.30000	0.02000	0.90000	0.10000	2000.00000	0.14350	0.02015
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00005	1.01000	1.00000	0.30000	0.02000	0.90000	0.50000	2000.00000	0.13600	0.01970
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00005	1.01000	1.00000	0.30000	0.02000	0.90000	0.90000	2000.00000	0.12500	0.01901
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00005	1.01000	1.00000	0.90000	0.02000	0.10000	0.10000	2000.00000	0.08700	0.01620
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00005	1.01000	1.00000	0.90000	0.02000	0.10000	0.50000	2000.00000	0.07150	0.01481
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00005	1.01000	1.00000	0.90000	0.02000	0.10000	0.90000	2000.00000	0.07950	0.01555
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00005	1.01000	1.00000	0.90000	0.02000	0.50000	0.10000	2000.00000	0.06550	0.01422
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00005	1.01000	1.00000	0.90000	0.02000	0.50000	0.50000	2000.00000	0.05650	0.01327
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00005	1.01000	1.00000	0.90000	0.02000	0.50000	0.90000	2000.00000	0.04800	0.01228
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00005	1.01000	1.00000	0.90000	0.02000	0.90000	0.10000	2000.00000	0.05300	0.01287
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00005	1.01000	1.00000	0.90000	0.02000	0.90000	0.50000	2000.00000	0.04900	0.01241
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00005	1.01000	1.00000	0.90000	0.02000	0.90000	0.90000	2000.00000	0.04250	0.01159
100.00000	2.00000	20000.00000	0.00015	0.00005	0.00050	1.01000	0.10000	0.30000	0.02000	0.10000	0.10000	2000.00000	0.37400	0.02781
100.00000	2.00000	20000.00000	0.00015	0.00005	0.00050	1.01000	0.10000	0.30000	0.02000	0.10000	0.50000	2000.00000	0.36500	0.02767
100.00000	2.00000	20000.00000	0.00015	0.00005	0.00050	1.01000	0.10000	0.30000	0.02000	0.10000	0.90000	2000.00000	0.34950	0.02740
100.00000	2.00000	20000.00000	0.00015	0.00005	0.00050	1.01000	0.10000	0.30000	0.02000	0.50000	0.10000	2000.00000	0.36850	0.02772
100.00000	2.00000	20000.00000	0.00015	0.00005	0.00050	1.01000	0.10000	0.30000	0.02000	0.50000	0.50000	2000.00000	0.39750	0.02812
